I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
99-l2pd2oh4,,00-lpdoh2,00-lpdoh2,-3958.769102,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
00-lpdoh2,naphboh2,01-rxt,,-2540.532744,True,diffusion-lpdoh2-rxt,1.3698533700179716,0.0
01-rxt,,03-c1,,-2540.501345,True,02-ts-rxt-c1,19.703172681622316,7.351902007634705
03-c1,,05-c2,,-2540.504228,True,04-ts-c1-c2,5.542791945709063,41.21545542545563
05-c2,h2o,09-c3,boh3,-2616.920762,True,07-ts-c2-c3,11.00714519580275,5.1518534891750125
09-c3,,11-c4,,-2364.598475,True,10-ts-c3-c4,36.45203035372401,12.07704899636031
11-c4,,naphh-c,00-lpdoh2,-2364.617721,True,diffusion-c4-pdt,0.0,33.24671152017463
01-rxt,,13-t1,,-2540.51119,True,12-ts-rxt-t1,13.525341061137583,13.891806644242417
13-t1,,15-t2,,-2540.517935,True,14-ts-t1-t2,9.659254660694057,18.411758006649006
15-t2,h2o,19-t3,boh3,-2616.866606,True,17-ts-t2-t3,30.78812906298242,33.607529517037634
19-t3,,21-t4,,-2364.614085,True,20-ts-t3-t4,21.128874402288364,18.306336400511263
21-t4,,naphh-t,00-lpdoh2,-2364.643258,True,diffusion-t4-pdt,0.0,17.221999880604244
15-t2,,60-t3rh,,-2540.514422,True,59-ts-t2-t3rh,20.616199091519835,22.48806010988071
60-t3rh,,62-t3ob-rh,,-2540.539245,True,61-ts-t3rh-t3ob,6.911390296467066,9.049942877751498
64-t3ob-1h2o,,66-t4ob,,-2231.604128,True,65-ts-t3ob-1h2o-t4ob,26.608915392132914,27.2778405832181
67-t3ob-2h2o,,69-t4ob-1h2o,,-2307.975566,True,68-ts-t3ob-2h2o-t4ob,18.384775095555923,22.762909297280675
62-t3ob-rh,,60-t3ob,naphh-t,-2540.553667,True,diffusion-59-60,0.0,1.2876496174787608
60-t3ob,h2o,64-t3ob-1h2o,,-2231.637961,True,diffusion-60-61,0.0,5.378384440916
64-t3ob-1h2o,h2o,67-t3ob-2h2o,,-2308.004864,True,diffusion-61-64,6.314001195210104,0.0
69-t4ob-1h2o,,66-t4ob,h2o,-2308.011841,True,diffusion-66-63,0.0,2.604792184570541
66-t4ob,,00-lpdoh2,boh3,-2231.647598,True,diffusion-63-pdt,0.0,5.8734894837571066
